sample_id,source_digit,target_label,label,handedness,image_path,split
2_IMG_4256,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_4256.JPG,test
2_IMG_4319,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_4319.JPG,test
2_IMG_4695,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_4695.JPG,test
2_IMG_4727,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_4727.JPG,test
2_IMG_4898,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_4898.JPG,test
2_IMG_4918,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_4918.JPG,test
2_IMG_4968,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_4968.JPG,test
2_IMG_5033,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_5033.JPG,test
2_IMG_5093,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_5093.JPG,test
2_IMG_5134,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_5134.JPG,test
2_IMG_5144,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_5144.JPG,test
2_IMG_5165,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_5165.JPG,test
2_IMG_5499,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_5499.JPG,test
2_IMG_5879,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_5879.JPG,test
2_IMG_5940,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_5940.JPG,test
2_IMG_5983,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_5983.JPG,test
3_IMG_1182,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_1182.JPG,test
3_IMG_1202,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_1202.JPG,test
3_IMG_1263,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_1263.JPG,test
3_IMG_4062,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_4062.JPG,test
3_IMG_4082,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_4082.JPG,test
3_IMG_4132,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_4132.JPG,test
3_IMG_4236,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_4236.JPG,test
3_IMG_4499,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_4499.JPG,test
3_IMG_4567,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_4567.JPG,test
3_IMG_4728,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_4728.JPG,test
3_IMG_4738,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_4738.JPG,test
3_IMG_4768,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_4768.JPG,test
3_IMG_4929,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_4929.JPG,test
3_IMG_4949,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_4949.JPG,test
3_IMG_5034,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_5034.JPG,test
3_IMG_5094,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_5094.JPG,test
3_IMG_5155,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_5155.JPG,test
3_IMG_5186,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_5186.JPG,test
3_IMG_5237,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_5237.JPG,test
3_IMG_5311,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_5311.JPG,test
3_IMG_5373,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_5373.JPG,test
3_IMG_5393,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_5393.JPG,test
3_IMG_5490,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_5490.JPG,test
3_IMG_5628,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_5628.JPG,test
3_IMG_5749,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_5749.JPG,test
3_IMG_5809,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_5809.JPG,test
3_IMG_5840,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_5840.JPG,test
3_IMG_5910,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_5910.JPG,test
3_IMG_5931,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_5931.JPG,test
3_IMG_5974,3,digit_3,2,Right,Sign-Language-Digits-Dataset\Dataset\3\IMG_5974.JPG,test
0_IMG_1312,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_1312.JPG,test
0_IMG_4069,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_4069.JPG,test
0_IMG_4181,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_4181.JPG,test
0_IMG_4203,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_4203.JPG,test
0_IMG_4327,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_4327.JPG,test
0_IMG_4391,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_4391.JPG,test
0_IMG_4423,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_4423.JPG,test
0_IMG_4456,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_4456.JPG,test
0_IMG_4476,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_4476.JPG,test
0_IMG_4486,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_4486.JPG,test
0_IMG_4735,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_4735.JPG,test
0_IMG_4765,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_4765.JPG,test
0_IMG_4796,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_4796.JPG,test
0_IMG_4916,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_4916.JPG,test
0_IMG_4956,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_4956.JPG,test
0_IMG_5028,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_5028.JPG,test
0_IMG_5042,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_5042.JPG,test
0_IMG_5173,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_5173.JPG,test
0_IMG_5183,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_5183.JPG,test
0_IMG_5328,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_5328.JPG,test
0_IMG_5341,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_5341.JPG,test
0_IMG_5400,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_5400.JPG,test
0_IMG_5412,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_5412.JPG,test
0_IMG_5456,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_5456.JPG,test
0_IMG_5826,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_5826.JPG,test
0_IMG_5837,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_5837.JPG,test
0_IMG_5847,0,other_digit,3,Left,Sign-Language-Digits-Dataset\Dataset\0\IMG_5847.JPG,test
0_IMG_5897,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_5897.JPG,test
0_IMG_5950,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_5950.JPG,test
0_IMG_5981,0,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\0\IMG_5981.JPG,test
4_IMG_1316,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_1316.JPG,test
4_IMG_4083,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_4083.JPG,test
4_IMG_4143,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_4143.JPG,test
4_IMG_4163,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_4163.JPG,test
4_IMG_4248,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_4248.JPG,test
4_IMG_4270,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_4270.JPG,test
4_IMG_4280,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_4280.JPG,test
4_IMG_4310,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_4310.JPG,test
4_IMG_4428,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_4428.JPG,test
4_IMG_4490,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_4490.JPG,test
4_IMG_4500,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_4500.JPG,test
4_IMG_4638,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_4638.JPG,test
4_IMG_4820,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_4820.JPG,test
4_IMG_4970,4,other_digit,3,Left,Sign-Language-Digits-Dataset\Dataset\4\IMG_4970.JPG,test
4_IMG_4980,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_4980.JPG,test
4_IMG_4990,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_4990.JPG,test
4_IMG_5177,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_5177.JPG,test
4_IMG_5197,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_5197.JPG,test
4_IMG_5207,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_5207.JPG,test
4_IMG_5354,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_5354.JPG,test
4_IMG_5501,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_5501.JPG,test
4_IMG_5649,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_5649.JPG,test
4_IMG_5760,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_5760.JPG,test
4_IMG_5985,4,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\4\IMG_5985.JPG,test
5_IMG_1255,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_1255.JPG,test
5_IMG_1275,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_1275.JPG,test
5_IMG_1296,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_1296.JPG,test
5_IMG_4074,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_4074.JPG,test
5_IMG_4094,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_4094.JPG,test
5_IMG_4260,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_4260.JPG,test
5_IMG_4291,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_4291.JPG,test
5_IMG_4333,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_4333.JPG,test
5_IMG_4375,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_4375.JPG,test
5_IMG_4418,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_4418.JPG,test
5_IMG_4669,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_4669.JPG,test
5_IMG_4679,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_4679.JPG,test
5_IMG_4689,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_4689.JPG,test
5_IMG_4730,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_4730.JPG,test
5_IMG_4921,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_4921.JPG,test
5_IMG_5068,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_5068.JPG,test
5_IMG_5116,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_5116.JPG,test
5_IMG_5157,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_5157.JPG,test
5_IMG_5261,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_5261.JPG,test
5_IMG_5427,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_5427.JPG,test
5_IMG_5532,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_5532.JPG,test
5_IMG_5587,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_5587.JPG,test
5_IMG_5609,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_5609.JPG,test
5_IMG_5731,5,other_digit,3,Left,Sign-Language-Digits-Dataset\Dataset\5\IMG_5731.JPG,test
5_IMG_5933,5,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\5\IMG_5933.JPG,test
6_IMG_1144,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_1144.JPG,test
6_IMG_1215,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_1215.JPG,test
6_IMG_1225,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_1225.JPG,test
6_IMG_4075,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_4075.JPG,test
6_IMG_4135,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_4135.JPG,test
6_IMG_4155,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_4155.JPG,test
6_IMG_4177,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_4177.JPG,test
6_IMG_4229,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_4229.JPG,test
6_IMG_4312,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_4312.JPG,test
6_IMG_4397,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_4397.JPG,test
6_IMG_4492,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_4492.JPG,test
6_IMG_4580,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_4580.JPG,test
6_IMG_4731,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_4731.JPG,test
6_IMG_4751,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_4751.JPG,test
6_IMG_4852,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_4852.JPG,test
6_IMG_4862,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_4862.JPG,test
6_IMG_4872,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_4872.JPG,test
6_IMG_4922,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_4922.JPG,test
6_IMG_4953,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_4953.JPG,test
6_IMG_5179,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_5179.JPG,test
6_IMG_5386,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_5386.JPG,test
6_IMG_5611,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_5611.JPG,test
6_IMG_5631,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_5631.JPG,test
6_IMG_5691,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_5691.JPG,test
6_IMG_5853,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_5853.JPG,test
6_IMG_5977,6,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\6\IMG_5977.JPG,test
7_IMG_1135,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_1135.JPG,test
7_IMG_1196,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_1196.JPG,test
7_IMG_1226,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_1226.JPG,test
7_IMG_1277,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_1277.JPG,test
7_IMG_1287,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_1287.JPG,test
7_IMG_4046,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_4046.JPG,test
7_IMG_4146,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_4146.JPG,test
7_IMG_4156,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_4156.JPG,test
7_IMG_4210,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_4210.JPG,test
7_IMG_4303,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_4303.JPG,test
7_IMG_4398,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_4398.JPG,test
7_IMG_4431,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_4431.JPG,test
7_IMG_4561,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_4561.JPG,test
7_IMG_4722,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_4722.JPG,test
7_IMG_4732,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_4732.JPG,test
7_IMG_4783,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_4783.JPG,test
7_IMG_4803,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_4803.JPG,test
7_IMG_4833,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_4833.JPG,test
7_IMG_4853,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_4853.JPG,test
7_IMG_4923,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_4923.JPG,test
7_IMG_4993,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_4993.JPG,test
7_IMG_5004,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_5004.JPG,test
7_IMG_5129,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_5129.JPG,test
7_IMG_5273,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_5273.JPG,test
7_IMG_5409,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_5409.JPG,test
7_IMG_5662,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_5662.JPG,test
7_IMG_5823,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_5823.JPG,test
7_IMG_5844,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_5844.JPG,test
7_IMG_5854,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_5854.JPG,test
7_IMG_5925,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_5925.JPG,test
7_IMG_5998,7,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\7\IMG_5998.JPG,test
8_IMG_1136,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_1136.JPG,test
8_IMG_1197,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_1197.JPG,test
8_IMG_1237,8,other_digit,3,Left,Sign-Language-Digits-Dataset\Dataset\8\IMG_1237.JPG,test
8_IMG_1278,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_1278.JPG,test
8_IMG_4294,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_4294.JPG,test
8_IMG_4314,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_4314.JPG,test
8_IMG_4632,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_4632.JPG,test
8_IMG_4642,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_4642.JPG,test
8_IMG_4652,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_4652.JPG,test
8_IMG_4713,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_4713.JPG,test
8_IMG_4733,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_4733.JPG,test
8_IMG_4784,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_4784.JPG,test
8_IMG_4804,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_4804.JPG,test
8_IMG_4844,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_4844.JPG,test
8_IMG_4864,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_4864.JPG,test
8_IMG_4914,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_4914.JPG,test
8_IMG_4934,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_4934.JPG,test
8_IMG_5083,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_5083.JPG,test
8_IMG_5130,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_5130.JPG,test
8_IMG_5242,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_5242.JPG,test
8_IMG_5398,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_5398.JPG,test
8_IMG_5420,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_5420.JPG,test
8_IMG_5515,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_5515.JPG,test
8_IMG_5580,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_5580.JPG,test
8_IMG_5643,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_5643.JPG,test
8_IMG_5784,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_5784.JPG,test
8_IMG_5814,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_5814.JPG,test
8_IMG_5916,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_5916.JPG,test
8_IMG_5958,8,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\8\IMG_5958.JPG,test
9_IMG_1147,9,other_digit,3,Right,Sign-Language-Digits-Dataset\Dataset\9\IMG_1147.JPG,test
